artist_id,genre
01Wck2m10xhdxUrLaMq60y,funk
01Wck2m10xhdxUrLaMq60y,new jack swing
01Wck2m10xhdxUrLaMq60y,post-disco
01Wck2m10xhdxUrLaMq60y,quiet storm
01Wck2m10xhdxUrLaMq60y,urban contemporary
29WzbAQtDnBJF09es0uddn,british soul
29WzbAQtDnBJF09es0uddn,neo soul
29WzbAQtDnBJF09es0uddn,pop soul
29WzbAQtDnBJF09es0uddn,soul
4rDcfb3TEWyx0BKdzKG24I,alternative r&b
4rDcfb3TEWyx0BKdzKG24I,uk contemporary r&b
7C4sUpWGlTy7IANjruj02I,album rock
7C4sUpWGlTy7IANjruj02I,art rock
7C4sUpWGlTy7IANjruj02I,classic rock
7C4sUpWGlTy7IANjruj02I,mellow gold
7C4sUpWGlTy7IANjruj02I,new romantic
7C4sUpWGlTy7IANjruj02I,new wave
7C4sUpWGlTy7IANjruj02I,permanent wave
7C4sUpWGlTy7IANjruj02I,progressive rock
7C4sUpWGlTy7IANjruj02I,rock
7C4sUpWGlTy7IANjruj02I,singer-songwriter
7C4sUpWGlTy7IANjruj02I,soft rock
1VN38ZSdtQnHLa8PfTTKZD,broadway
1VN38ZSdtQnHLa8PfTTKZD,classic soundtrack
4jL1usPiGDK8TD46zJP4gu,classic country pop
4jL1usPiGDK8TD46zJP4gu,cowboy western
4jL1usPiGDK8TD46zJP4gu,new mexico music
4jL1usPiGDK8TD46zJP4gu,outlaw country
4rAgFKtlTr66ic18YZZyF1,american folk revival
4rAgFKtlTr66ic18YZZyF1,folk
4rAgFKtlTr66ic18YZZyF1,protest folk
4rAgFKtlTr66ic18YZZyF1,singer-songwriter
4rAgFKtlTr66ic18YZZyF1,traditional blues
4rAgFKtlTr66ic18YZZyF1,traditional folk
4LEiUm1SRbFMgfqnQTwUbQ,chamber pop
4LEiUm1SRbFMgfqnQTwUbQ,eau claire indie
4LEiUm1SRbFMgfqnQTwUbQ,indie folk
4LEiUm1SRbFMgfqnQTwUbQ,melancholia
4LEiUm1SRbFMgfqnQTwUbQ,modern rock
1KA3WXYMPLxomNuoE22LYd,alternative country
1KA3WXYMPLxomNuoE22LYd,cosmic american
1KA3WXYMPLxomNuoE22LYd,country rock
1KA3WXYMPLxomNuoE22LYd,folk
1KA3WXYMPLxomNuoE22LYd,folk rock
1KA3WXYMPLxomNuoE22LYd,roots rock
1KA3WXYMPLxomNuoE22LYd,singer-songwriter
2kGBy2WHvF0VdZyqiVCkDT,art pop
2kGBy2WHvF0VdZyqiVCkDT,chamber pop
2kGBy2WHvF0VdZyqiVCkDT,indie rock
2kGBy2WHvF0VdZyqiVCkDT,singer-songwriter
2kGBy2WHvF0VdZyqiVCkDT,stomp and holler
4Qk0lWGeXydDvfrDufDQ9p,american folk revival
4Qk0lWGeXydDvfrDufDQ9p,folk
4Qk0lWGeXydDvfrDufDQ9p,folk rock
4Qk0lWGeXydDvfrDufDQ9p,singer-songwriter
5Z1MqXZgG3ooTyK3oqQVpw,bhangra
5Z1MqXZgG3ooTyK3oqQVpw,classic pakistani pop
5Z1MqXZgG3ooTyK3oqQVpw,pakistani pop
5Z1MqXZgG3ooTyK3oqQVpw,sufi
0JxChc2w5fwTGbXKfc4cRd,quiet storm
0JxChc2w5fwTGbXKfc4cRd,smooth jazz
0JxChc2w5fwTGbXKfc4cRd,yacht rock
3JhQGw54MOytJP3GZ8KNPo,american folk revival
3JhQGw54MOytJP3GZ8KNPo,folk
2UazAtjfzqBF0Nho2awK4z,alternative metal
2UazAtjfzqBF0Nho2awK4z,alternative rock
2UazAtjfzqBF0Nho2awK4z,classic rock
2UazAtjfzqBF0Nho2awK4z,grunge
2UazAtjfzqBF0Nho2awK4z,hard rock
2UazAtjfzqBF0Nho2awK4z,nu metal
2UazAtjfzqBF0Nho2awK4z,post-grunge
2UazAtjfzqBF0Nho2awK4z,rock
2gF5ozMajrL8gjPlA4Ej5x,yacht rock
5hW7KULTxMzCDnqaV7LASR,chutney
5hW7KULTxMzCDnqaV7LASR,classic bollywood
5hW7KULTxMzCDnqaV7LASR,classic pakistani pop
5hW7KULTxMzCDnqaV7LASR,filmi
5hW7KULTxMzCDnqaV7LASR,ghazal
5hW7KULTxMzCDnqaV7LASR,sufi
5krkohEVJYw0qoB5VWwxaC,album rock
5krkohEVJYw0qoB5VWwxaC,blues rock
5krkohEVJYw0qoB5VWwxaC,classic rock
5krkohEVJYw0qoB5VWwxaC,electric blues
5krkohEVJYw0qoB5VWwxaC,hard rock
5krkohEVJYw0qoB5VWwxaC,jam band
5krkohEVJYw0qoB5VWwxaC,rock
5krkohEVJYw0qoB5VWwxaC,southern rock
7jy3rLJdDQY21OgRLCZ9sD,alternative metal
7jy3rLJdDQY21OgRLCZ9sD,alternative rock
7jy3rLJdDQY21OgRLCZ9sD,modern rock
7jy3rLJdDQY21OgRLCZ9sD,permanent wave
7jy3rLJdDQY21OgRLCZ9sD,post-grunge
7jy3rLJdDQY21OgRLCZ9sD,rock
6sOP8RUFR0q0nBOBOXGdBK,folk
6sOP8RUFR0q0nBOBOXGdBK,persian pop
2Pawr6MMX9VBIQ9oUHg7jc,classic uk pop
5fhMbh4PVSLSODF2fhWwqt,album rock
5fhMbh4PVSLSODF2fhWwqt,glam metal
5fhMbh4PVSLSODF2fhWwqt,hard rock
5fhMbh4PVSLSODF2fhWwqt,soft rock
0Je74SitssvJg1w4Ra2EK7,new wave pop
0Je74SitssvJg1w4Ra2EK7,pop rock
66l6SXrWHLjXFHfv202kdA,gospel soul
66l6SXrWHLjXFHfv202kdA,spirituals
66l6SXrWHLjXFHfv202kdA,traditional soul
63wd5NS9hEIj1MchScLJB1,uk alternative pop
2BFpVYblz5isZ4eTnMXUQI,528hz
2BFpVYblz5isZ4eTnMXUQI,healing hz
3Ca0AyhocUD897XBmjixrN,sleep
41cuAY2sJSQ9cr40Eq1Kcx,pakistani electronic
41cuAY2sJSQ9cr40Eq1Kcx,pakistani indie
4qKIiUdFND09cgGOc5kfoR,bossa nova
4qKIiUdFND09cgGOc5kfoR,brazilian modern jazz
4qKIiUdFND09cgGOc5kfoR,contemporary vocal jazz
4qKIiUdFND09cgGOc5kfoR,jazz pop
4qKIiUdFND09cgGOc5kfoR,piano mpb
